Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,19.480000,20.250000,17.790001,17.790001,16.357101,36600
2006-06-01,18.480000,18.480000,16.820000,17.660000,16.237577,223800
2006-07-01,17.660000,17.660000,15.690000,16.639999,15.299730,214800
2006-08-01,16.400000,18.379999,16.370001,18.110001,16.651333,134800
2006-09-01,18.080000,20.000000,17.610001,18.969999,17.442066,415500
2006-10-01,19.230000,20.000000,18.500000,19.510000,17.938570,252800
2006-11-01,19.570000,21.070000,19.000000,20.590000,18.931585,874400
2006-12-01,20.549999,20.750000,19.850000,20.000000,18.389101,368500
2007-01-01,20.049999,20.959999,19.670000,20.100000,18.481049,418700
2007-02-01,20.190001,20.980000,19.809999,20.049999,18.435074,189900
2007-03-01,18.900000,20.549999,18.900000,19.799999,18.205206,191400
2007-04-01,19.840000,21.520000,19.730000,20.940001,19.253393,429000
2007-05-01,20.750000,21.540001,20.400000,21.450001,19.722313,59900
2007-06-01,21.639999,22.049999,20.969999,21.879999,20.117680,125700
2007-07-01,21.990000,23.590000,21.900000,21.900000,20.136065,170900
2007-08-01,21.940001,22.540001,20.340000,22.250000,20.457878,233000
2007-09-01,22.150000,23.180000,21.770000,23.049999,21.193441,172300
2007-10-01,23.200001,24.320000,22.730000,23.820000,21.901421,2724400
2007-11-01,23.830000,24.070000,20.670000,21.469999,19.740700,1369100
2007-12-01,21.379999,22.180000,20.850000,21.510000,19.777479,305300
2008-01-01,21.170000,21.350000,17.299999,19.010000,17.478840,400500
2008-02-01,19.299999,19.660000,18.150000,18.530001,17.037504,112600
2008-03-01,18.510000,19.070000,17.780001,18.309999,16.835224,126000
2008-04-01,18.830000,20.700001,18.459999,20.340000,18.701715,153800
2008-05-01,20.530001,22.180000,20.330000,21.469999,19.740700,267100
2008-06-01,21.940001,22.180000,19.500000,19.520000,17.947762,291800
2008-07-01,19.309999,19.780001,17.920000,18.809999,17.294943,178700
2008-08-01,18.520000,20.230000,18.480000,19.110001,17.570789,93400
2008-09-01,19.420000,19.490000,15.300000,16.030001,14.738869,266200
2008-10-01,15.840000,16.110001,11.000000,12.900000,11.860971,268600
2008-11-01,12.870000,13.420000,9.700000,11.300000,10.389845,133500
2008-12-01,10.910000,12.250000,10.260000,11.810000,10.858766,273700
2009-01-01,11.780000,12.810000,10.970000,11.480000,10.555342,119800
2009-02-01,11.340000,12.730000,10.930000,11.290000,10.380647,117800
2009-03-01,11.060000,13.530000,10.540000,13.040000,11.989697,496000
2009-04-01,12.820000,15.190000,12.730000,14.990000,13.782631,574900
2009-05-01,15.070000,16.379999,14.080000,15.620000,14.361889,637400
2009-06-01,15.760000,16.430000,14.990000,15.760000,14.490614,583500
2009-07-01,15.830000,17.889999,14.860000,17.570000,16.154829,1090500
2009-08-01,17.750000,18.660000,17.200001,18.020000,16.568581,593000
2009-09-01,18.030001,19.610001,17.490000,19.129999,17.589174,619900
2009-10-01,19.129999,19.950001,18.240000,18.500000,17.009920,1002900
2009-11-01,18.510000,20.190001,18.290001,19.389999,17.828241,1912100
2009-12-01,19.549999,21.480000,19.549999,21.209999,19.501644,1304200
2010-01-01,21.510000,21.740000,19.139999,19.240000,17.702179,2759300
2010-02-01,19.280001,20.790001,19.120001,20.549999,18.907478,3608800
2010-03-01,20.660000,22.270000,20.660000,21.860001,20.112764,3718200
2010-04-01,21.990000,23.430000,21.660000,22.420000,20.628012,2853800
2010-05-01,22.660000,30.200001,10.370000,21.020000,19.339912,8292100
2010-06-01,20.790001,22.110001,19.469999,19.520000,17.959803,5438300
2010-07-01,19.500000,21.770000,19.100000,21.180000,19.506132,2530300
2010-08-01,21.410000,21.719999,19.700001,19.809999,18.244402,2485400
2010-09-01,20.090000,23.000000,20.090000,22.629999,20.841534,6079700
2010-10-01,22.820000,24.520000,22.120001,24.309999,22.388763,6262500
2010-11-01,24.559999,25.379999,23.950001,24.540001,22.600588,3826900
2010-12-01,24.940001,26.139999,24.940001,25.709999,23.678122,4519400
2011-01-01,25.950001,27.559999,25.750000,26.660000,24.628538,9828100
2011-02-01,26.850000,28.440001,26.549999,26.799999,24.757874,6074300
2011-03-01,27.639999,27.840000,25.160000,27.020000,24.961113,12128700
2011-04-01,27.190001,27.879999,26.100000,27.770000,25.653957,4124400
2011-05-01,27.889999,27.900000,26.290001,27.379999,25.293678,7207600
2011-06-01,27.309999,27.350000,24.340000,25.790001,23.824837,5535600
2011-07-01,25.790001,26.760000,24.379999,24.570000,22.771223,17284000
2011-08-01,24.910000,24.969999,20.730000,22.969999,21.288359,7226100
2011-09-01,23.000000,23.930000,21.350000,21.719999,20.129875,2432300
2011-10-01,21.570000,25.809999,20.770000,25.120001,23.280954,4643600
2011-11-01,24.389999,25.870001,22.860001,24.670000,22.863899,1647900
2011-12-01,24.629999,25.160000,23.020000,24.120001,22.354166,1232800
2012-01-01,24.610001,26.680000,24.209999,26.389999,24.457983,1161000
2012-02-01,26.730000,28.260000,26.680000,27.680000,25.653543,2308600
2012-03-01,27.770000,28.969999,26.790001,28.690001,26.589600,1129500
2012-04-01,28.650000,28.930000,26.549999,27.420000,25.412571,1177600
2012-05-01,27.379999,27.809999,24.070000,24.350000,22.567327,1186000
2012-06-01,23.850000,25.510000,23.410000,25.190001,23.345829,917400
2012-07-01,25.330000,25.400000,23.330000,25.049999,23.216080,645300
2012-08-01,25.160000,26.730000,24.700001,25.910000,24.013121,773100
2012-09-01,25.830000,26.920000,25.219999,25.799999,23.911175,1088800
2012-10-01,25.910000,26.209999,24.240000,24.299999,22.633471,850600
2012-11-01,24.370001,25.400000,23.580000,25.129999,23.406542,948000
2012-12-01,25.240000,26.750000,25.000000,25.850000,24.077160,675600
2013-01-01,26.420000,28.000000,26.340000,27.600000,25.788618,705700
2013-02-01,27.790001,28.160000,27.040001,27.540001,25.732555,710300
2013-03-01,27.370001,28.530001,27.219999,28.240000,26.386618,384200
2013-04-01,28.240000,28.430000,26.750000,28.230000,26.413017,495600
