Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,11.905000,12.033334,11.156667,11.361667,10.046554,378000
2007-03-01,11.361667,11.568334,10.968333,11.520000,10.186563,30600
2007-04-01,11.520000,12.566667,11.520000,12.566667,11.112079,30000
2007-05-01,12.566667,12.755000,12.201667,12.668333,11.201974,26400
2007-06-01,12.861667,12.861667,12.041667,12.166667,10.758376,47400
2007-07-01,12.335000,12.700000,11.406667,11.425000,10.189146,1430400
2007-08-01,11.500000,12.375000,10.973333,11.765000,10.492366,240000
2007-09-01,11.811666,12.471666,11.430000,12.471666,11.122589,142200
2007-10-01,12.588333,13.005000,12.330000,12.521667,11.226196,265200
2007-11-01,12.333333,13.218333,12.000000,12.901667,11.566882,525000
2007-12-01,12.948334,13.403334,12.303333,12.415000,11.130561,1319400
2008-01-01,12.225000,12.266666,9.816667,10.871667,9.851834,1162200
2008-02-01,10.971666,11.271667,10.341666,10.600000,9.605650,1060800
2008-03-01,10.508333,11.220000,10.088333,10.975000,9.945472,1116000
2008-04-01,11.113334,11.646667,10.785000,10.831667,9.854812,639600
2008-05-01,10.891666,11.271667,10.600000,10.990000,9.998862,616200
2008-06-01,10.831667,10.895000,9.040000,9.083333,8.264151,1281600
2008-07-01,8.883333,10.173333,8.733334,9.661667,8.818906,1068000
2008-08-01,9.336667,11.058333,9.336667,10.253333,9.358963,1316400
2008-09-01,10.615000,11.333333,9.003333,9.633333,8.793045,1629600
2008-10-01,9.333333,9.806666,5.373333,6.636667,6.087480,3633600
2008-11-01,6.903333,7.233333,4.666667,6.058333,5.557004,2190000
2008-12-01,5.730000,6.105000,5.000000,5.926667,5.436232,1393800
2009-01-01,5.996666,6.303333,5.006667,5.033333,4.643826,2329800
2009-02-01,4.951667,5.346667,4.148334,4.221667,3.894970,2181000
2009-03-01,4.326667,4.991667,3.650000,4.605000,4.248638,3759600
2009-04-01,4.596667,5.386667,4.458333,5.308333,4.914606,2344200
2009-05-01,5.088333,5.986667,5.088333,5.923333,5.483991,1915800
2009-06-01,6.060000,6.370000,5.498333,5.948333,5.507136,2746200
2009-07-01,6.183333,7.200000,5.773334,7.070000,6.568493,1882200
2009-08-01,7.070000,7.310000,6.500000,7.031667,6.532879,1267800
2009-09-01,6.933333,7.746666,6.750000,7.585000,7.046962,806400
2009-10-01,7.500000,8.170000,7.278333,7.476666,6.973010,690600
2009-11-01,7.568333,8.598333,7.245000,8.318334,7.757978,541800
2009-12-01,8.416667,8.760000,8.188334,8.576667,7.998910,1040400
2010-01-01,8.808333,9.000000,7.883333,8.245000,7.725196,796800
2010-02-01,8.281667,8.966666,7.755000,8.803333,8.248329,1509600
2010-03-01,9.000000,9.928333,8.850000,9.615000,9.008826,1190400
2010-04-01,9.721666,10.065000,9.473333,9.603333,9.019894,1723800
2010-05-01,9.641666,9.806666,7.533333,8.421667,7.910019,2833200
2010-06-01,8.346666,8.950000,7.801667,7.840000,7.363691,702600
2010-07-01,7.801667,9.365000,7.728333,9.016666,8.505678,619800
2010-08-01,9.300000,9.335000,8.500000,8.636666,8.147214,436800
2010-09-01,8.951667,9.878333,8.926666,9.651667,9.104692,259200
2010-10-01,9.691667,10.675000,9.600000,10.525000,9.958917,1370400
2010-11-01,10.590000,10.985000,10.401667,10.566667,9.998342,772200
2010-12-01,10.733334,11.800000,10.733334,11.601666,10.977676,225600
2011-01-01,11.976666,11.976666,11.113334,11.128333,10.529802,1091400
2011-02-01,11.318334,12.216666,11.176666,11.911667,11.271003,273000
2011-03-01,11.911667,12.301666,11.166667,12.248333,11.589561,248400
2011-04-01,12.248333,13.403334,12.248333,13.368333,12.651487,234600
2011-05-01,13.466666,13.888333,13.151667,13.861667,13.118368,429600
2011-06-01,13.753333,13.753333,12.413333,13.410000,12.690919,729600
2011-07-01,13.505000,14.081667,12.891666,12.891666,12.200688,361200
2011-08-01,13.013333,13.013333,10.468333,12.373333,11.710136,300000
2011-09-01,12.366667,12.366667,10.733334,10.980000,10.391483,372000
2011-10-01,11.023334,13.140000,10.071667,12.941667,12.251411,1403400
2011-11-01,12.041667,12.848333,11.311666,12.695000,12.017901,1225200
2011-12-01,12.656667,13.241667,12.076667,13.056666,12.360276,1065600
2012-01-01,13.223333,13.871667,13.063334,13.328333,12.617455,171600
2012-02-01,13.483334,14.635000,13.483334,14.635000,13.854428,72600
2012-03-01,14.653334,15.455000,14.213333,15.420000,14.597562,90600
2012-04-01,15.455000,15.626667,14.565000,15.275000,14.492857,87600
2012-05-01,15.533334,15.560000,13.883333,14.331667,13.597828,146400
2012-06-01,13.806666,14.628333,13.550000,14.283334,13.551971,70800
2012-07-01,14.283334,15.116667,14.140000,15.103333,14.355214,24000
2012-08-01,15.103333,15.646667,14.760000,15.365000,14.603922,63600
2012-09-01,15.340000,16.336666,15.340000,15.975000,15.183706,39600
2012-10-01,15.818334,16.350000,15.325000,15.596666,14.834910,51600
2012-11-01,15.596666,16.431667,14.000000,16.431667,15.629126,70800
2012-12-01,16.431667,16.799999,15.610000,15.683333,14.917345,52800
2013-01-01,16.623333,18.296667,16.623333,18.068333,17.221006,48600
2013-02-01,18.068333,19.475000,17.895000,19.125000,18.228123,157200
2013-03-01,19.008333,20.601667,18.998333,20.600000,19.633955,75000
2013-04-01,20.586666,21.891666,20.083334,21.718334,20.716963,208800
2013-05-01,21.900000,23.616667,21.219999,21.796667,20.791683,156000
2013-06-01,21.651667,22.760000,20.113333,21.456667,20.467363,180000
2013-07-01,22.006666,23.756666,21.583334,23.726667,22.704327,138300
2013-08-01,23.976667,24.473333,21.576666,21.943333,20.997841,291300
2013-09-01,22.080000,24.443333,22.010000,22.900000,21.913288,78600
2013-10-01,22.900000,25.540001,22.083334,25.393333,24.312792,89400
2013-11-01,25.393333,26.326666,24.840000,26.213333,25.097898,234900
2013-12-01,25.913334,26.450001,24.433332,26.450001,25.324493,101700
2014-01-01,26.166666,26.463333,23.430000,23.493334,22.522339,407400
2014-02-01,22.783333,25.680000,21.620001,25.653334,24.593061,50700
2014-03-01,25.000000,26.433332,25.000000,26.353333,25.264130,161100
2014-04-01,26.546667,27.066668,24.459999,27.043333,25.979206,51000
2014-05-01,27.043333,28.386667,26.690001,28.386667,27.269680,420000
2014-06-01,28.420000,29.313334,28.023333,28.956667,27.817247,191400
2014-07-01,29.136667,29.680000,26.703333,26.703333,25.706499,468000
2014-08-01,26.903334,29.526667,26.799999,29.510000,28.408394,152400
2014-09-01,29.280001,29.843334,28.389999,28.480000,27.416845,300000
2014-10-01,28.250000,30.600000,26.176666,30.366667,29.257607,401400
2014-11-01,30.433332,33.666668,30.256666,33.580002,32.353584,211200
2014-12-01,33.406666,33.603333,29.480000,32.936668,31.733740,213900
2015-01-01,32.333332,33.053333,30.686666,30.686666,29.606474,139200
2015-02-01,31.043333,34.236668,30.666666,33.950001,32.754940,114600
2015-03-01,34.186668,34.673332,31.063334,33.189999,32.021690,310500
2015-04-01,32.610001,34.133335,32.033333,32.369999,31.296883,190800
2015-05-01,32.593334,34.466667,32.473331,33.529999,32.418438,122700
2015-06-01,33.313332,34.463333,32.203335,32.686668,31.603060,138900
2015-07-01,33.133335,34.700001,32.490002,34.433334,33.360489,207900
2015-08-01,35.410000,35.410000,27.959999,31.040001,30.072887,349500
2015-09-01,30.206667,32.676666,29.483334,30.866667,29.904953,112500
2015-10-01,30.866667,108.199997,30.866667,106.099998,102.794220,213300
2015-11-01,35.683334,36.056667,32.826668,34.806667,33.722183,188400
2015-12-01,35.263332,35.713333,33.183334,35.166668,34.070976,64800
2016-01-01,33.296665,33.823334,29.203333,32.553333,31.605053,230400
2016-02-01,33.340000,34.349998,30.273333,33.753334,32.770096,44700
2016-03-01,34.520000,38.083332,34.520000,37.436668,36.346134,221100
2016-04-01,37.463333,38.703335,36.443333,37.036667,36.061123,103200
2016-05-01,36.666668,38.383335,36.023335,37.153332,36.174717,122700
2016-06-01,37.256668,39.296665,35.616665,39.166668,38.135017,113400
2016-07-01,39.776669,41.606667,38.796665,40.459999,39.457996,153200
2016-08-01,40.720001,41.090000,39.240002,40.099998,39.106911,45600
2016-09-01,40.220001,41.070000,37.650002,38.910000,37.946381,69000
2016-10-01,38.400002,38.500000,36.700001,37.450001,36.572411,75300
2016-11-01,37.020000,38.029999,34.490002,35.310001,34.482563,154700
2016-12-01,35.029999,38.410000,34.740002,37.299999,36.425926,117800
2017-01-01,37.099998,40.099998,36.990002,38.810001,37.962078,77300
2017-02-01,38.750000,42.709999,38.610001,42.470001,41.542118,88800
2017-03-01,42.889999,44.290001,42.290001,43.000000,42.060539,40200
2017-04-01,42.910000,44.799999,42.060001,42.840000,41.983521,33400
2017-05-01,42.480000,45.560001,41.900002,45.560001,44.649147,35400
2017-06-01,45.330002,46.660000,43.820000,45.189999,44.286537,35400
2017-07-01,45.180000,46.279999,43.990002,45.060001,44.235340,66400
2017-08-01,44.860001,45.790001,43.150002,44.180000,43.371445,45100
2017-09-01,44.369999,45.689999,43.840000,44.290001,43.479435,124500
2017-10-01,44.830002,45.939999,43.650002,44.200001,43.458057,19900
2017-11-01,44.270000,47.250000,42.500000,47.070000,46.279884,279000
2017-12-01,46.720001,49.709999,46.400002,49.020000,48.197151,88600
2018-01-01,49.389999,52.040001,48.570000,50.240002,49.499989,83700
2018-02-01,50.650002,50.650002,42.779999,45.080002,44.415993,237800
2018-03-01,44.770000,46.709999,41.189999,42.950001,42.317364,103900
2018-04-01,40.970001,44.900002,38.669998,39.410000,38.875832,30100
2018-05-01,38.230000,40.169998,37.810001,39.310001,38.777187,106800
2018-06-01,39.689999,43.610001,39.689999,42.849998,42.269199,69600
2018-07-01,42.139999,44.410000,41.700001,42.990002,42.493073,37900
2018-08-01,42.790001,44.939999,42.169998,42.509998,42.018620,20600
2018-09-01,42.459999,45.099998,42.020000,43.040001,42.542492,34600
2018-10-01,43.230000,43.340000,38.130001,41.889999,41.405785,26100
2018-11-01,41.889999,43.160000,39.880001,41.340000,40.862144,42400
2018-12-01,42.900002,42.900002,31.330000,34.000000,33.606991,24700
2019-01-01,33.689999,39.419998,33.310001,39.419998,39.114208,29100
2019-02-01,39.090000,41.110001,38.849998,40.790001,40.473583,11900
2019-03-01,41.009998,42.970001,39.759998,42.970001,42.636673,16500
2019-04-01,43.259998,45.869999,42.619999,45.810001,45.542545,58900
2019-05-01,45.820000,45.820000,39.730000,39.730000,39.498039,28500
2019-06-01,40.320000,45.630001,40.090000,44.380001,44.120892,20900
2019-07-01,44.459999,47.950001,44.459999,46.369999,46.286217,40700
2019-08-01,47.250000,47.340000,42.820000,45.340000,45.258076,33200
2019-09-01,44.689999,48.119999,44.590000,47.869999,47.783504,22200
2019-10-01,47.450001,48.560001,45.529999,48.009998,48.009998,13100
2019-11-01,48.470001,48.470001,47.759998,47.970001,47.970001,1700
